DataKey,true_totEarNum,predicted_totEarNum,predicted_std_totEarNum
202404251118_13,295.0,311.6717,4.444501
202404251118_13,295.0,293.26578,4.303623
202404251118_13,295.0,313.76764,4.497044
202404251118_13,295.0,280.01538,4.2456946
202404251118_13,295.0,285.6086,4.292386
202404251118_13,295.0,291.3391,4.287704
202404251118_13,295.0,280.8985,4.3314795
202404251118_13,295.0,294.6589,4.5009375
202404251118_13,295.0,286.41046,4.3504353
202404251118_13,295.0,280.95386,4.3003335
202404251118_13,295.0,302.6818,4.560618
202404251118_13,295.0,292.7519,4.3628993
202404251118_13,295.0,292.96402,4.439691
202404251118_13,295.0,286.86905,4.3277483
202404251118_13,295.0,289.6937,4.4066663
202404251118_13,295.0,285.91544,4.3275213
202404251118_13,295.0,339.45227,4.8201737
202404251118_13,295.0,282.3812,4.8136315
202404251118_14,288.0,299.07245,4.4779224
202404251118_14,288.0,305.97974,4.3440185
202404251118_14,288.0,299.79745,4.467872
202404251118_14,288.0,301.36795,4.359797
202404251118_14,288.0,300.11926,4.4510837
202404251118_14,288.0,308.00018,4.4390216
202404251118_14,288.0,302.41122,4.3881783
202404251118_14,288.0,303.1028,4.3351636
202404251118_14,288.0,308.11636,4.716658
202404251118_14,288.0,298.79477,4.4277544
202404251118_14,288.0,289.3154,4.3161445
202404251118_14,288.0,283.3358,4.209101
202404251118_14,288.0,293.48508,4.3199058
202404251118_14,288.0,294.56693,4.339375
202404251118_14,288.0,290.26855,4.3126364
202404251118_14,288.0,286.60574,4.252046
202404251118_14,288.0,288.3243,4.261787
202404251118_14,288.0,287.16687,4.2539916
202404251118_14,288.0,278.2531,4.475952
202404251118_14,288.0,299.8753,4.371127
202404251118_15,331.0,331.69315,4.8316836
202404251118_15,331.0,318.55182,4.768588
202404251118_15,331.0,339.3004,4.856682
202404251118_15,331.0,321.86697,4.7640347
202404251118_15,331.0,332.79623,4.822982
202404251118_15,331.0,321.6635,4.832808
202404251118_15,331.0,316.7712,4.87085
202404251118_15,331.0,320.5385,4.7899647
202404251118_15,331.0,296.9049,5.0385127
202404251118_15,331.0,327.40143,5.066588
202404251118_15,331.0,303.53183,5.145375
202404251118_15,331.0,307.25156,5.309599
202404251118_15,331.0,309.5473,5.0381846
202404251118_15,331.0,317.54318,5.130464
202404251118_15,331.0,306.86093,5.1405873
202404251118_15,331.0,317.62964,5.5049253
202404251118_15,331.0,322.08066,5.4017625
202404251118_15,331.0,311.1343,5.2224593
202404251118_15,331.0,307.0644,5.055677
202404251118_15,331.0,302.26944,5.552752
202404251118_16,257.0,270.4565,4.677611
202404251118_16,257.0,278.61206,4.4944234
202404251118_16,257.0,276.4854,4.754959
202404251118_16,257.0,283.91437,4.5523167
202404251118_16,257.0,271.72195,4.6509504
202404251118_16,257.0,280.4722,4.668723
202404251118_16,257.0,292.91916,5.114126
202404251118_16,257.0,279.39838,4.4958587
202404251118_16,257.0,277.84772,4.506978
202404251118_16,257.0,297.22125,4.927711
202404251118_16,257.0,266.89825,4.3966503
202404251118_16,257.0,271.7426,4.4344945
202404251118_16,257.0,268.6896,4.4470906
202404251118_16,257.0,276.30304,4.4156985
202404251118_16,257.0,267.02466,4.417107
202404251118_16,257.0,270.1866,4.4747148
202404251118_16,257.0,278.89886,4.4263225
202404251118_16,257.0,273.64453,4.420715
202404251118_16,257.0,275.36905,4.3726277
202404251118_16,257.0,269.8662,4.632248
202404251118_17,300.0,327.90524,4.6917033
202404251118_17,300.0,329.5698,4.731002
202404251118_17,300.0,324.29416,4.6244035
202404251118_17,300.0,332.1425,4.666388
202404251118_17,300.0,325.3434,4.643483
202404251118_17,300.0,332.27475,4.7166367
202404251118_17,300.0,333.0294,4.7678843
202404251118_17,300.0,331.44366,4.6964245
202404251118_17,300.0,315.72052,4.5867343
202404251118_17,300.0,321.15198,4.6495028
202404251118_17,300.0,307.55127,4.5786552
202404251118_17,300.0,292.11118,4.4431944
202404251118_17,300.0,314.74078,4.6123204
202404251118_17,300.0,301.79327,4.479125
202404251118_17,300.0,313.95834,4.619757
202404251118_17,300.0,299.21133,4.501379
202404251118_17,300.0,303.42313,4.522527
202404251118_17,300.0,297.65738,4.468474
202404251118_17,300.0,294.02747,4.3647323
202404251118_17,300.0,313.78555,4.630678
202404251118_18,323.0,305.86224,4.744451
202404251118_18,323.0,319.88785,4.72146
202404251118_18,323.0,301.08856,4.685136
202404251118_18,323.0,320.30362,4.7414794
202404251118_18,323.0,307.672,4.777825
202404251118_18,323.0,312.37955,4.7139564
202404251118_18,323.0,323.94748,4.886061
202404251118_18,323.0,320.76083,4.7263937
202404251118_18,323.0,309.47375,4.8674927
202404251118_18,323.0,316.49475,4.8704953
202404251118_18,323.0,307.44867,4.5123954
202404251118_18,323.0,324.72473,4.6840596
202404251118_18,323.0,309.58875,4.553957
202404251118_18,323.0,330.17474,4.7259426
202404251118_18,323.0,307.37738,4.526863
202404251118_18,323.0,320.8089,4.803047
202404251118_18,323.0,324.4822,4.7518487
202404251118_18,323.0,326.9507,4.6972795
202404251118_18,323.0,319.52545,4.732617
202404251118_18,323.0,321.23132,4.8512836
202404251118_19,422.0,425.25674,4.949108
202404251118_19,422.0,414.78363,4.9893093
202404251118_19,422.0,429.40976,5.0420585
202404251118_19,422.0,419.04468,5.0648
202404251118_19,422.0,426.0894,4.9731836
202404251118_19,422.0,415.80093,5.01992
202404251118_19,422.0,422.92734,5.081061
202404251118_19,422.0,414.3664,5.0078673
202404251118_19,422.0,407.41626,5.1232715
202404251118_19,422.0,377.16946,5.192897
202404251118_19,422.0,434.64438,5.069926
202404251118_19,422.0,422.89764,5.032908
202404251118_19,422.0,424.38107,5.0247293
