DataKey,true_totalSeedNum,predicted_totalSeedNum,predicted_std_totalSeedNum
202404251118_114,5388.0,6171.0464,26.405836
202404251118_114,5388.0,6394.497,27.961031
202404251118_114,5388.0,6286.095,27.062618
202404251118_114,5388.0,6304.952,27.61036
202404251118_114,5388.0,7256.568,37.191776
202404251118_114,5388.0,6466.0767,28.16174
202404251118_114,5388.0,5455.681,22.593939
202404251118_114,5388.0,6857.503,31.264557
202404251118_114,5388.0,5798.247,24.263073
202404251118_114,5388.0,6623.6836,29.373562
202404251118_114,5388.0,5407.9053,22.8944
202404251118_114,5388.0,6237.233,26.52178
202404251118_114,5388.0,5516.859,22.91951
202404251118_114,5388.0,6133.179,26.744213
202404251118_114,5388.0,6658.6694,31.70049
202404251118_12,3399.0,3357.1614,16.817554
202404251118_12,3399.0,2870.5386,15.65047
202404251118_12,3399.0,3585.6343,17.719872
202404251118_12,3399.0,3165.8135,16.478006
202404251118_12,3399.0,3439.1428,17.159182
202404251118_12,3399.0,3116.6133,16.112892
202404251118_12,3399.0,2939.8804,16.038923
202404251118_12,3399.0,2996.7544,15.953201
202404251118_12,3399.0,3058.523,16.351618
202404251118_12,3399.0,3282.9065,17.806284
202404251118_12,3399.0,2570.8672,15.55803
202404251118_12,3399.0,3393.2058,16.73924
202404251118_12,3399.0,2780.9614,16.179365
202404251118_12,3399.0,3563.773,17.33529
202404251118_12,3399.0,2634.7878,15.706017
202404251118_12,3399.0,3324.163,16.968727
202404251118_12,3399.0,3182.1223,16.568476
202404251118_12,3399.0,3424.305,16.865175
202404251118_12,3399.0,2445.4111,15.256743
202404251118_12,3399.0,3151.42,17.254738
202404251118_13,2748.0,2157.863,14.826037
202404251118_13,2748.0,1779.1925,12.857202
202404251118_13,2748.0,2130.3284,14.963392
202404251118_13,2748.0,1850.3658,13.3347225
202404251118_13,2748.0,2152.9407,14.90363
202404251118_13,2748.0,1680.875,12.865736
202404251118_13,2748.0,1708.5421,13.025455
202404251118_13,2748.0,1780.9808,12.95167
202404251118_13,2748.0,2019.5012,14.06676
202404251118_13,2748.0,2165.7305,14.949985
202404251118_13,2748.0,1649.7953,12.932317
202404251118_13,2748.0,2075.2554,14.305504
202404251118_13,2748.0,2015.8457,14.241179
202404251118_13,2748.0,2376.7932,15.337428
202404251118_13,2748.0,1771.9904,13.194929
202404251118_13,2748.0,2114.147,14.620446
202404251118_13,2748.0,2093.1477,14.563416
202404251118_13,2748.0,2187.435,14.783966
202404251118_13,2748.0,1845.4006,13.239124
202404251118_13,2748.0,2106.3345,14.941364
202404251118_14,2789.0,2256.796,14.968973
202404251118_14,2789.0,2313.454,14.493857
202404251118_14,2789.0,2431.7524,15.313639
202404251118_14,2789.0,2204.1748,14.39093
202404251118_14,2789.0,2321.8975,15.133933
202404251118_14,2789.0,2268.2747,14.472158
202404251118_14,2789.0,2352.5925,14.411224
202404251118_14,2789.0,2242.0544,14.430259
202404251118_14,2789.0,2876.741,15.649835
202404251118_14,2789.0,3177.6936,17.170868
202404251118_14,2789.0,2261.0254,14.69312
202404251118_14,2789.0,2237.2295,14.443062
202404251118_14,2789.0,2281.2092,14.74323
202404251118_14,2789.0,2060.888,14.051009
202404251118_14,2789.0,2260.3457,14.6769705
202404251118_14,2789.0,2182.3557,14.332248
202404251118_14,2789.0,2142.2234,14.324651
202404251118_14,2789.0,2138.1096,14.241698
202404251118_14,2789.0,2442.8232,14.945883
202404251118_14,2789.0,2923.4407,16.663954
202404251118_15,3242.0,2790.696,15.689227
202404251118_15,3242.0,3089.0244,16.153568
202404251118_15,3242.0,2872.4634,16.080297
202404251118_15,3242.0,3273.3577,16.906706
202404251118_15,3242.0,2709.8896,15.637278
202404251118_15,3242.0,3196.5635,16.375664
202404251118_15,3242.0,2984.7075,16.191622
202404251118_15,3242.0,3158.6677,16.354687
202404251118_15,3242.0,2936.7693,16.247011
202404251118_15,3242.0,2932.4307,16.623852
202404251118_15,3242.0,3096.114,17.033846
202404251118_15,3242.0,2486.4412,15.54516
202404251118_15,3242.0,3774.7778,18.597803
202404251118_15,3242.0,2762.5251,16.519943
202404251118_15,3242.0,3323.5715,17.450115
202404251118_15,3242.0,2554.4282,15.92363
202404251118_15,3242.0,2702.0369,16.030043
202404251118_15,3242.0,2518.6604,15.733859
