DataKey,true_days,predicted_days,predicted_std_days
202404251118_16,176.0,177.61705,3.2433906
202404251118_16,176.0,176.5979,3.2332132
202404251118_16,176.0,176.26573,3.2343428
202404251118_16,176.0,177.13222,3.2417328
202404251118_16,176.0,177.71619,3.2730808
202404251118_16,176.0,180.6947,3.258947
202404251118_16,176.0,178.48232,3.244139
202404251118_16,176.0,177.69162,3.239354
202404251118_16,176.0,176.25578,3.2313585
202404251118_16,176.0,178.64449,3.243733
202404251118_16,176.0,174.2061,3.2068777
202404251118_16,176.0,177.3046,3.2355886
202404251118_16,176.0,177.13138,3.2363641
202404251118_16,176.0,176.64201,3.2499666
202404251118_16,176.0,177.54901,3.2588086
202404251118_17,176.0,177.85106,3.2546268
202404251118_17,176.0,177.42741,3.2610846
202404251118_17,176.0,174.4806,3.22521
202404251118_17,176.0,174.54437,3.2316847
202404251118_17,176.0,176.03685,3.2407515
202404251118_17,176.0,173.74678,3.2226112
202404251118_17,176.0,176.2593,3.248899
202404251118_17,176.0,175.74797,3.2451458
202404251118_17,176.0,175.29413,3.2368467
202404251118_17,176.0,177.98851,3.2756522
202404251118_17,176.0,178.22408,3.2655187
202404251118_17,176.0,177.5919,3.2694585
202404251118_17,176.0,175.0526,3.2345977
202404251118_17,176.0,174.71857,3.2405124
202404251118_17,176.0,176.19429,3.2467632
202404251118_17,176.0,176.1817,3.2434661
202404251118_17,176.0,176.51315,3.2571929
202404251118_17,176.0,175.7033,3.2497969
202404251118_17,176.0,176.62596,3.2587152
202404251118_17,176.0,176.79594,3.2578022
202404251118_18,176.0,180.45456,3.289108
202404251118_18,176.0,179.04582,3.2823353
202404251118_18,176.0,176.86748,3.2547746
202404251118_18,176.0,175.71848,3.2507353
202404251118_18,176.0,178.34871,3.2708678
202404251118_18,176.0,175.27312,3.2469356
202404251118_18,176.0,177.66402,3.2680578
202404251118_18,176.0,177.22185,3.2661972
202404251118_18,176.0,176.58153,3.2582383
202404251118_18,176.0,178.26917,3.2786481
202404251118_18,176.0,178.57532,3.2738483
202404251118_18,176.0,177.67192,3.274503
202404251118_18,176.0,176.68147,3.257008
202404251118_18,176.0,175.6586,3.2561839
202404251118_18,176.0,177.40839,3.2643378
202404251118_18,176.0,175.42784,3.2496045
202404251118_18,176.0,176.813,3.2635982
202404251118_18,176.0,176.48117,3.2635767
202404251118_18,176.0,176.16872,3.2583277
202404251118_18,176.0,177.59612,3.2736619
202404251118_19,176.0,177.94342,3.24111
202404251118_19,176.0,177.34251,3.2387066
202404251118_19,176.0,173.6454,3.2084162
202404251118_19,176.0,173.24931,3.2070107
202404251118_19,176.0,175.44113,3.222963
202404251118_19,176.0,172.63104,3.2023015
202404251118_19,176.0,175.91827,3.2307296
202404251118_19,176.0,174.81801,3.21945
202404251118_19,176.0,172.96765,3.1957943
202404251118_19,176.0,177.63373,3.2464724
202404251118_19,176.0,176.51334,3.2447102
202404251118_19,176.0,175.41296,3.2422159
202404251118_19,176.0,173.53363,3.2254276
202404251118_19,176.0,172.67198,3.226768
202404251118_19,176.0,174.97191,3.2343633
202404251118_19,176.0,171.77199,3.2104578
202404251118_19,176.0,174.68971,3.2379618
202404251118_19,176.0,174.00894,3.234584
202404251118_19,176.0,173.0389,3.2155113
202404251118_19,176.0,176.02725,3.2504566
202404251118_2,176.0,178.62894,3.2695138
202404251118_2,176.0,177.48143,3.264158
202404251118_2,176.0,175.00081,3.235085
202404251118_2,176.0,174.83376,3.238636
202404251118_2,176.0,176.4438,3.249792
202404251118_2,176.0,174.74413,3.234615
202404251118_2,176.0,175.65681,3.2457101
202404251118_2,176.0,175.88846,3.2483401
202404251118_2,176.0,173.74818,3.221881
202404251118_2,176.0,178.48419,3.2827353
202404251118_2,176.0,177.38228,3.2649643
202404251118_2,176.0,176.69084,3.2609422
202404251118_2,176.0,174.94528,3.2405648
202404251118_2,176.0,174.61147,3.2443883
202404251118_2,176.0,176.01335,3.2513146
202404251118_2,176.0,175.54022,3.2417488
202404251118_2,176.0,176.3914,3.2601304
202404251118_2,176.0,175.6178,3.2526197
202404251118_2,176.0,174.56674,3.2343192
202404251118_2,176.0,177.22322,3.2703304
202404251118_20,176.0,178.48326,3.2567446
202404251118_20,176.0,177.16263,3.2445111
202404251118_20,176.0,174.64307,3.2231472
202404251118_20,176.0,173.75012,3.2174506
202404251118_20,176.0,176.522,3.2402215
202404251118_20,176.0,176.94298,3.23611
202404251118_20,176.0,176.64566,3.2446477
202404251118_20,176.0,175.3734,3.230832
202404251118_20,176.0,174.38733,3.2209203
202404251118_20,176.0,179.45316,3.2794366
202404251118_20,176.0,177.9121,3.2542455
202404251118_20,176.0,176.90085,3.2466831
202404251118_20,176.0,175.47969,3.236338
202404251118_20,176.0,174.78249,3.2322533
202404251118_20,176.0,176.4911,3.2438152
202404251118_20,176.0,173.76385,3.2229228
202404251118_20,176.0,175.94022,3.2387803
202404251118_20,176.0,175.83061,3.2394907
202404251118_20,176.0,173.92072,3.2189333
