DataKey,true_totEarWeight,predicted_totEarWeight,predicted_std_totEarWeight
202404251118_15,620.09,600.1452,6.398988
202404251118_15,620.09,594.86865,6.2825623
202404251118_15,620.09,606.5856,6.556772
202404251118_15,620.09,594.2404,6.497956
202404251118_15,620.09,604.6063,6.4898157
202404251118_15,620.09,608.5136,6.593909
202404251118_15,620.09,613.6554,6.383798
202404251118_15,620.09,593.3148,6.36201
202404251118_15,620.09,759.6869,6.8915973
202404251118_15,620.09,630.7981,6.6437345
202404251118_16,445.83,509.92383,5.200334
202404251118_16,445.83,547.4043,5.385844
202404251118_16,445.83,514.2544,5.2502728
202404251118_16,445.83,535.9111,5.363561
202404251118_16,445.83,514.72284,5.216125
202404251118_16,445.83,547.07074,5.428657
202404251118_16,445.83,538.6537,5.3977046
202404251118_16,445.83,542.11523,5.3596964
202404251118_16,445.83,498.1379,4.994575
202404251118_16,445.83,546.9652,5.5115657
202404251118_16,445.83,504.13367,5.028018
202404251118_16,445.83,520.9563,5.134999
202404251118_16,445.83,498.20477,5.02047
202404251118_16,445.83,515.2747,5.1336946
202404251118_16,445.83,503.13275,5.020285
202404251118_16,445.83,521.4665,5.2085257
202404251118_16,445.83,517.8219,5.2211795
202404251118_16,445.83,519.5563,5.126275
202404251118_16,445.83,527.1132,5.2004976
202404251118_16,445.83,527.66187,5.230704
202404251118_17,691.32,690.49207,6.424255
202404251118_17,691.32,699.2268,6.4458766
202404251118_17,691.32,736.8637,6.886914
202404251118_17,691.32,748.6863,6.8385906
202404251118_17,691.32,711.3669,6.593758
202404251118_17,691.32,737.6085,6.7292843
202404251118_17,691.32,680.22394,6.469285
202404251118_17,691.32,727.81354,6.646132
202404251118_17,691.32,713.74884,6.580923
202404251118_17,691.32,731.5679,6.7047386
202404251118_17,691.32,633.594,6.015767
202404251118_17,691.32,661.37274,6.200751
202404251118_17,691.32,641.5248,6.123142
202404251118_17,691.32,667.00183,6.285365
202404251118_17,691.32,641.94385,6.090124
202404251118_17,691.32,684.0674,6.365598
202404251118_17,691.32,662.52545,6.248898
202404251118_17,691.32,670.76685,6.2969823
202404251118_17,691.32,673.6505,6.355437
202404251118_17,691.32,639.7238,6.1890917
202404251118_18,742.18,760.67816,6.900843
202404251118_18,742.18,722.22406,6.6855254
202404251118_18,742.18,759.1716,6.902935
202404251118_18,742.18,747.91595,6.8276844
202404251118_18,742.18,768.2014,6.950393
202404251118_18,742.18,724.2921,6.714939
202404251118_18,742.18,682.64154,6.566569
202404251118_18,742.18,736.7636,6.7472224
202404251118_18,742.18,730.8979,6.936515
202404251118_18,742.18,702.36554,6.7012587
202404251118_18,742.18,718.6153,6.699642
202404251118_18,742.18,754.91455,6.8231473
202404251118_18,742.18,718.78265,6.7206373
202404251118_18,742.18,774.577,6.975551
202404251118_18,742.18,713.1402,6.6684594
202404251118_18,742.18,740.726,6.8334723
202404251118_18,742.18,728.84045,6.8119955
202404251118_18,742.18,762.03455,6.897292
202404251118_18,742.18,716.127,6.879435
202404251118_18,742.18,670.3212,6.7092776
202404251118_19,1105.24,1147.8599,9.548946
202404251118_19,1105.24,1046.4277,8.838317
202404251118_19,1105.24,1159.4398,9.70889
202404251118_19,1105.24,1064.6062,9.087329
202404251118_19,1105.24,1159.4034,9.702187
202404251118_19,1105.24,1064.6135,8.96344
202404251118_19,1105.24,983.6948,8.296609
202404251118_19,1105.24,1057.7316,8.985105
202404251118_19,1105.24,1051.725,8.8424
202404251118_19,1105.24,1125.966,9.252348
202404251118_19,1105.24,1043.5945,8.397924
202404251118_19,1105.24,1061.664,8.498263
202404251118_19,1105.24,1031.0884,8.344537
202404251118_19,1105.24,1045.7944,8.448415
202404251118_19,1105.24,1037.881,8.377841
202404251118_19,1105.24,1028.3358,7.9344983
202404251118_19,1105.24,1098.1241,8.768079
202404251118_19,1105.24,1056.6333,8.500765
202404251118_19,1105.24,995.84393,8.131912
202404251118_19,1105.24,1231.1412,9.740524
202404251118_2,974.34,919.9335,8.093579
202404251118_2,974.34,909.93274,7.9100895
202404251118_2,974.34,915.40753,8.139525
202404251118_2,974.34,901.79443,7.907506
202404251118_2,974.34,926.4288,8.184603
202404251118_2,974.34,929.01794,8.09281
202404251118_2,974.34,845.4078,7.4708834
202404251118_2,974.34,912.8118,7.9585733
202404251118_2,974.34,862.46893,7.6404686
202404251118_2,974.34,885.1547,7.6800313
