DataKey,true_totalSeedWeightAfterDry,predicted_totalSeedWeightAfterDry,predicted_std_totalSeedWeightAfterDry
202404251118_14,101.77,100.43931,2.524212
202404251118_14,101.77,92.14976,2.5070672
202404251118_14,101.77,97.73454,2.5678408
202404251118_14,101.77,92.873436,2.476877
202404251118_14,101.77,102.19065,2.6033573
202404251118_14,101.77,89.67972,2.6228423
202404251118_14,101.77,94.5106,2.445614
202404251118_14,101.77,92.004295,2.4142747
202404251118_14,101.77,93.32096,2.4838872
202404251118_14,101.77,92.691734,2.4483614
202404251118_14,101.77,94.5284,2.4562538
202404251118_14,101.77,93.048996,2.4384196
202404251118_14,101.77,86.79596,2.491805
202404251118_14,101.77,91.411,2.4177413
202404251118_14,101.77,98.947136,2.5641341
202404251118_14,101.77,82.31399,2.5784435
202404251118_15,119.78,114.7885,2.595369
202404251118_15,119.78,114.852165,2.6283104
202404251118_15,119.78,116.79345,2.6104276
202404251118_15,119.78,112.160095,2.6405294
202404251118_15,119.78,116.01426,2.5909648
202404251118_15,119.78,114.82069,2.6207204
202404251118_15,119.78,111.49839,2.7377973
202404251118_15,119.78,113.72201,2.6274846
202404251118_15,119.78,110.55486,2.8020945
202404251118_15,119.78,105.97175,2.7252028
202404251118_15,119.78,117.67674,3.3569279
202404251118_15,119.78,121.619606,3.0573235
202404251118_15,119.78,121.23984,3.4083078
202404251118_15,119.78,125.0515,3.2031066
202404251118_15,119.78,118.02642,3.4168139
202404251118_15,119.78,125.648125,3.222902
202404251118_15,119.78,113.1481,2.9795313
202404251118_15,119.78,122.22961,3.0983603
202404251118_15,119.78,114.66326,2.8029757
202404251118_15,119.78,111.67844,3.2323685
202404251118_16,51.01,72.940445,2.3804455
202404251118_16,51.01,70.08864,2.3000622
202404251118_16,51.01,84.612404,2.534649
202404251118_16,51.01,75.404465,2.36339
202404251118_16,51.01,79.28026,2.4653554
202404251118_16,51.01,75.0062,2.3726404
202404251118_16,51.01,66.432014,2.3031042
202404251118_16,51.01,72.054794,2.3247364
202404251118_16,51.01,67.868324,2.3768044
202404251118_16,51.01,82.035736,2.6074216
202404251118_16,51.01,65.591576,2.3022292
202404251118_16,51.01,64.871895,2.294651
202404251118_16,51.01,67.42256,2.3452032
202404251118_16,51.01,67.96029,2.3293586
202404251118_16,51.01,66.61555,2.3339214
202404251118_16,51.01,63.49766,2.2569041
202404251118_16,51.01,65.76711,2.388692
202404251118_16,51.01,65.914444,2.3102882
202404251118_16,51.01,75.89727,2.3585804
202404251118_16,51.01,69.07896,2.6124306
202404251118_17,137.09,137.6157,2.832927
202404251118_17,137.09,132.81732,2.8158638
202404251118_17,137.09,132.81145,2.807743
202404251118_17,137.09,133.76714,2.8422563
202404251118_17,137.09,136.64273,2.8339465
202404251118_17,137.09,135.49663,2.8394964
202404251118_17,137.09,134.18062,2.8476017
202404251118_17,137.09,134.57585,2.8417394
202404251118_17,137.09,136.63052,2.9418333
202404251118_17,137.09,131.88794,2.9815888
202404251118_17,137.09,131.40437,2.8216317
202404251118_17,137.09,133.47101,2.9082007
202404251118_17,137.09,129.59842,2.828944
202404251118_17,137.09,132.77942,2.9559336
202404251118_17,137.09,131.70282,2.8362772
202404251118_17,137.09,135.77054,3.06152
202404251118_17,137.09,131.81609,2.932356
202404251118_17,137.09,134.25095,2.932047
202404251118_17,137.09,131.48792,2.8030882
202404251118_17,137.09,125.61762,3.0464513
202404251118_18,157.37,162.2479,3.3486488
202404251118_18,157.37,147.6357,3.0704525
202404251118_18,157.37,147.80132,3.232216
202404251118_18,157.37,146.37236,3.078024
202404251118_18,157.37,156.26355,3.2983508
202404251118_18,157.37,142.39984,3.0595925
202404251118_18,157.37,132.69946,3.092239
202404251118_18,157.37,145.36737,3.054898
202404251118_18,157.37,168.7412,3.4109902
202404251118_18,157.37,147.82068,3.3479595
202404251118_18,157.37,140.01501,3.0277839
202404251118_18,157.37,156.74431,3.0556242
202404251118_18,157.37,137.40965,3.0137455
202404251118_18,157.37,157.11034,3.0755644
202404251118_18,157.37,136.7307,2.9977546
202404251118_18,157.37,149.70625,3.0097134
202404251118_18,157.37,143.46498,2.9945085
202404251118_18,157.37,156.80255,3.0523887
202404251118_18,157.37,150.07744,3.1386554
202404251118_18,157.37,133.2876,3.4263513
202404251118_19,219.74,205.43979,3.3042314
202404251118_19,219.74,217.0079,3.4261408
202404251118_19,219.74,205.28424,3.3767397
202404251118_19,219.74,215.79956,3.455754
202404251118_19,219.74,206.75584,3.3579996
202404251118_19,219.74,210.74722,3.3900955
202404251118_19,219.74,208.38322,3.3936672
202404251118_19,219.74,217.97551,3.4537675
202404251118_19,219.74,216.71466,3.5524163
202404251118_19,219.74,201.55447,3.489959
202404251118_19,219.74,211.56238,3.3492246
202404251118_19,219.74,207.06186,3.2785084
202404251118_19,219.74,215.90456,3.4303434
202404251118_19,219.74,206.59726,3.3261485
202404251118_19,219.74,212.44165,3.3730147
202404251118_19,219.74,189.92651,3.0973141
202404251118_19,219.74,210.52324,3.3359723
202404251118_19,219.74,205.23425,3.285139
202404251118_19,219.74,218.7732,3.5557802
202404251118_19,219.74,214.69768,3.6373131
202404251118_2,251.11,241.10779,3.7533584
202404251118_2,251.11,246.6328,3.795317
202404251118_2,251.11,236.11598,3.7792847
202404251118_2,251.11,243.71323,3.8029554
202404251118_2,251.11,243.36723,3.7890317
202404251118_2,251.11,242.09659,3.7565098
202404251118_2,251.11,244.51402,3.8577912
202404251118_2,251.11,246.78087,3.8102393
202404251118_2,251.11,236.74823,3.8297222
202404251118_2,251.11,226.57805,3.7847087
202404251118_2,251.11,241.25502,3.729543
202404251118_2,251.11,244.99852,3.7039125
202404251118_2,251.11,232.6704,3.670764
202404251118_2,251.11,248.05193,3.7732756
202404251118_2,251.11,239.3554,3.7144399
202404251118_2,251.11,246.41757,3.6921756
202404251118_2,251.11,248.56723,3.835853
202404251118_2,251.11,247.48627,3.7440107
202404251118_2,251.11,229.38554,3.7199085
202404251118_2,251.11,243.03831,3.8840432
202404251118_20,196.07,198.4035,3.2071977
202404251118_20,196.07,191.44655,3.1685777
202404251118_20,196.07,188.86978,3.1642344
202404251118_20,196.07,185.56456,3.1474957
202404251118_20,196.07,193.9019,3.1802638
202404251118_20,196.07,198.89455,3.2721598
202404251118_20,196.07,187.0061,3.1666706
202404251118_20,196.07,188.34871,3.151284
202404251118_20,196.07,199.9414,3.3512247
202404251118_20,196.07,200.15373,3.5310216
202404251118_20,196.07,207.9217,3.2462904
202404251118_20,196.07,182.61278,3.0707312
202404251118_20,196.07,196.9521,3.1930559
202404251118_20,196.07,178.60486,3.0671504
202404251118_20,196.07,204.84828,3.234948
202404251118_20,196.07,172.30888,3.0128691
202404251118_20,196.07,172.01047,3.0271215
202404251118_20,196.07,178.6066,3.050608
202404251118_20,196.07,188.30844,3.2580588
202404251118_20,196.07,194.75548,3.3657951
202404251118_21,101.17,107.00583,2.7111216
202404251118_21,101.17,106.08296,2.672496
202404251118_21,101.17,101.8928,2.6844673
202404251118_21,101.17,103.853264,2.6960022
202404251118_21,101.17,104.557556,2.6965916
202404251118_21,101.17,102.47375,2.7055995
202404251118_21,101.17,105.07305,2.7570968
202404251118_21,101.17,105.354095,2.69946
202404251118_21,101.17,94.31556,2.7842698
202404251118_21,101.17,99.66478,2.7887876
202404251118_21,101.17,96.41633,2.5988102
202404251118_21,101.17,104.88176,2.7181575
202404251118_21,101.17,95.13219,2.5754156
202404251118_21,101.17,102.41321,2.7142563
202404251118_21,101.17,97.37358,2.596161
202404251118_21,101.17,102.18917,2.7595649
202404251118_21,101.17,109.28923,2.753911
202404251118_21,101.17,104.483864,2.7194607
202404251118_21,101.17,93.62294,2.633954
202404251118_21,101.17,98.83825,2.7460442
202404251118_22,98.19,155.1518,3.1229036
202404251118_22,98.19,162.27562,3.1288905
202404251118_22,98.19,165.53964,3.2074177
202404251118_22,98.19,169.03218,3.1391194
202404251118_22,98.19,162.84363,3.1566007
202404251118_22,98.19,183.11902,3.1790435
202404251118_22,98.19,176.6432,3.2875133
202404251118_22,98.19,167.96576,3.1181324
202404251118_22,98.19,182.37744,3.23072
202404251118_22,98.19,160.69432,3.3792548
202404251118_22,98.19,155.48196,2.9250042
202404251118_22,98.19,166.44124,3.007733
202404251118_22,98.19,153.87018,2.968672
202404251118_22,98.19,177.2768,3.1314707
202404251118_22,98.19,153.93004,2.941015
202404251118_22,98.19,180.76378,3.1672113
202404251118_22,98.19,173.27658,3.124781
202404251118_22,98.19,169.40947,3.0566895
202404251118_22,98.19,150.50684,2.968572
202404251118_22,98.19,178.29788,3.4486985
202404251118_23,158.77,157.62361,3.0382502
202404251118_23,158.77,172.89775,3.1041975
202404251118_23,158.77,158.00552,3.1006935
202404251118_23,158.77,171.79832,3.1367943
202404251118_23,158.77,159.69461,3.0658824
202404251118_23,158.77,170.17218,3.1018848
202404251118_23,158.77,172.62329,3.1135852
202404251118_23,158.77,174.06569,3.1332119
202404251118_23,158.77,156.99011,3.21909
202404251118_23,158.77,148.48238,3.2541316
202404251118_23,158.77,163.66153,3.1235638
202404251118_23,158.77,145.66269,2.9827037
202404251118_23,158.77,171.97943,3.211869
202404251118_23,158.77,146.59337,3.01732
202404251118_23,158.77,165.22557,3.150227
202404251118_23,158.77,151.80666,3.0446246
202404251118_23,158.77,162.40218,3.095622
202404251118_23,158.77,146.16695,2.991762
