DataKey,true_LAI,predicted_LAI,predicted_std_LAI
202404251118_111,2.58,2.5569232,0.3924651
202404251118_111,2.58,2.556888,0.3882223
202404251118_111,2.58,2.484287,0.40960145
202404251118_111,2.58,2.3633628,0.4130764
202404251118_114,2.26,2.123493,0.37667418
202404251118_114,2.26,2.145016,0.36190617
202404251118_114,2.26,2.1077423,0.3715586
202404251118_114,2.26,2.1378665,0.36001498
202404251118_114,2.26,2.1128848,0.375269
202404251118_114,2.26,2.15565,0.3699592
202404251118_114,2.26,2.0972342,0.3560715
202404251118_114,2.26,2.1438727,0.36124906
202404251118_114,2.26,2.1105144,0.38640183
202404251118_114,2.26,2.0434206,0.35883102
202404251118_114,2.26,2.1441271,0.37778172
202404251118_114,2.26,2.070356,0.349504
202404251118_114,2.26,2.123619,0.3701058
202404251118_114,2.26,2.087617,0.3506787
202404251118_114,2.26,2.1316354,0.37440082
202404251118_114,2.26,2.0832183,0.36052528
202404251118_114,2.26,2.0730877,0.35497966
202404251118_114,2.26,2.075049,0.34859988
202404251118_114,2.26,2.1210346,0.38837048
202404251118_114,2.26,2.1436152,0.37071732
202404251118_12,2.3045,2.1911533,0.37027705
202404251118_12,2.3045,2.2313116,0.3708415
202404251118_12,2.3045,2.2003396,0.37352693
202404251118_12,2.3045,2.2264369,0.37279135
202404251118_12,2.3045,2.1933513,0.37080908
202404251118_12,2.3045,2.2169104,0.37132797
202404251118_12,2.3045,2.2172327,0.37560633
202404251118_12,2.3045,2.2320359,0.37240225
202404251118_12,2.3045,2.3358195,0.41462928
202404251118_12,2.3045,2.1739185,0.38557166
202404251118_12,2.3045,2.1133235,0.35517448
202404251118_12,2.3045,2.186418,0.35621
202404251118_12,2.3045,2.1438396,0.3564433
202404251118_12,2.3045,2.190041,0.35566768
202404251118_12,2.3045,2.1225,0.3536832
202404251118_12,2.3045,2.1732135,0.35389906
202404251118_12,2.3045,2.205395,0.36090457
202404251118_12,2.3045,2.1865337,0.35492173
202404251118_12,2.3045,2.2619483,0.3915754
202404251118_12,2.3045,2.1487808,0.37238267
202404251118_13,3.3415,3.2861185,0.51671
202404251118_13,3.3415,3.2622063,0.49275255
202404251118_13,3.3415,3.3026657,0.5232229
202404251118_13,3.3415,3.2436278,0.49527916
202404251118_13,3.3415,3.29216,0.5181136
202404251118_13,3.3415,3.2516704,0.497
202404251118_13,3.3415,3.2172267,0.4928577
202404251118_13,3.3415,3.2592187,0.49357995
202404251118_13,3.3415,3.144792,0.51395637
202404251118_13,3.3415,2.8736901,0.48920348
202404251118_13,3.3415,2.9938638,0.46573687
202404251118_13,3.3415,3.0807862,0.4766907
202404251118_13,3.3415,2.9788928,0.4719631
202404251118_13,3.3415,3.0530548,0.4758746
202404251118_13,3.3415,2.998324,0.46836278
202404251118_13,3.3415,3.0449064,0.47212747
202404251118_13,3.3415,2.9677215,0.45783573
202404251118_13,3.3415,3.0759952,0.47544575
202404251118_13,3.3415,2.9501987,0.4502262
202404251118_13,3.3415,3.096181,0.5223147
202404251118_14,2.942,2.7896535,0.44011605
202404251118_14,2.942,2.6604254,0.41076443
202404251118_14,2.942,2.8072596,0.44759548
202404251118_14,2.942,2.664471,0.41327488
202404251118_14,2.942,2.7965994,0.44260457
202404251118_14,2.942,2.6389222,0.41007605
202404251118_14,2.942,2.7318149,0.42665014
202404251118_14,2.942,2.6573167,0.41016203
202404251118_14,2.942,2.6412961,0.45209974
202404251118_14,2.942,2.8444252,0.4616873
202404251118_14,2.942,2.740333,0.4357947
202404251118_14,2.942,2.6685498,0.4149803
202404251118_14,2.942,2.7539456,0.4415586
202404251118_14,2.942,2.6746323,0.4191921
202404251118_14,2.942,2.7476184,0.43809658
202404251118_14,2.942,2.6691794,0.41528642
202404251118_14,2.942,2.721407,0.42872557
202404251118_14,2.942,2.6699839,0.416278
202404251118_14,2.942,2.7627354,0.4610322
