DataKey,true_Height,predicted_Height,predicted_std_Height
202404251118_105,59.5,63.10834,1.9611906
202404251118_105,59.5,63.390507,1.9746873
202404251118_105,59.5,62.128857,1.9553654
202404251118_105,59.5,64.351295,1.9992355
202404251118_105,59.5,64.90544,2.003707
202404251118_108,60.0,67.97601,2.059898
202404251118_108,60.0,63.13105,1.97335
202404251118_108,60.0,65.27128,2.0163698
202404251118_108,60.0,61.20622,1.9444847
202404251118_108,60.0,66.57348,2.0376396
202404251118_108,60.0,63.2027,1.9762337
202404251118_108,60.0,64.701996,2.0021694
202404251118_108,60.0,62.101692,1.9587774
202404251118_108,60.0,62.708374,1.9604506
202404251118_108,60.0,63.820805,1.9809974
202404251118_108,60.0,65.9642,2.025434
202404251118_108,60.0,61.904354,1.9491042
202404251118_108,60.0,65.10182,2.0161498
202404251118_108,60.0,61.06795,1.9391555
202404251118_108,60.0,65.25125,2.0163727
202404251118_108,60.0,62.186295,1.9507895
202404251118_108,60.0,64.35636,1.9921787
202404251118_108,60.0,61.206345,1.9392107
202404251118_108,60.0,63.739273,1.9823132
202404251118_108,60.0,66.50644,2.023961
202404251118_11,56.5,55.474358,1.8590155
202404251118_11,56.5,55.624485,1.8584596
202404251118_11,56.5,55.133278,1.851834
202404251118_11,56.5,56.07008,1.8651248
202404251118_11,56.5,55.039356,1.8514841
202404251118_11,56.5,55.37724,1.8531797
202404251118_11,56.5,53.713833,1.8283318
202404251118_11,56.5,56.029873,1.865007
202404251118_11,56.5,54.954105,1.8413955
202404251118_11,56.5,56.143612,1.8537387
202404251118_11,56.5,57.516533,1.8873063
202404251118_11,56.5,56.30422,1.8702705
202404251118_11,56.5,57.076134,1.8824111
202404251118_11,56.5,55.37504,1.8555129
202404251118_11,56.5,57.075024,1.8811411
202404251118_11,56.5,55.91461,1.8614777
202404251118_11,56.5,56.840603,1.8776052
202404251118_11,56.5,55.7669,1.861773
202404251118_11,56.5,54.17664,1.8338293
202404251118_11,56.5,57.39442,1.8760445
202404251118_111,77.0,80.43864,2.2275496
202404251118_111,77.0,82.32047,2.2599895
202404251118_111,77.0,79.181,2.2107239
202404251118_111,77.0,81.8546,2.260339
202404251118_111,77.0,79.93901,2.2230663
202404251118_111,77.0,82.499344,2.2704039
202404251118_111,77.0,81.836395,2.2629406
202404251118_111,77.0,81.99108,2.2612925
202404251118_111,77.0,81.89451,2.2700315
202404251118_111,77.0,81.98146,2.2580762
202404251118_111,77.0,81.73501,2.2551155
202404251118_111,77.0,82.70291,2.2802567
202404251118_111,77.0,82.36646,2.267035
202404251118_111,77.0,82.80089,2.2839088
202404251118_111,77.0,82.01151,2.2617762
202404251118_111,77.0,83.08564,2.2929275
202404251118_111,77.0,83.016,2.2844493
202404251118_111,77.0,82.61646,2.2823577
202404251118_111,77.0,81.32873,2.2640624
202404251118_111,77.0,82.76726,2.2771935
202404251118_114,72.5,73.777885,2.1526618
202404251118_114,72.5,79.08734,2.247215
202404251118_114,72.5,72.16428,2.124996
202404251118_114,72.5,76.53328,2.2043517
202404251118_114,72.5,73.288826,2.1443124
202404251118_114,72.5,78.99354,2.2457097
202404251118_114,72.5,77.477715,2.210764
202404251118_114,72.5,77.74007,2.2265687
202404251118_114,72.5,72.67088,2.1258733
202404251118_114,72.5,77.57859,2.2228236
202404251118_114,72.5,74.51544,2.1682281
202404251118_114,72.5,79.46122,2.2592678
202404251118_114,72.5,74.5068,2.1626878
202404251118_114,72.5,78.98831,2.2443035
202404251118_114,72.5,74.62254,2.1685727
202404251118_114,72.5,79.85025,2.2574506
202404251118_114,72.5,80.71704,2.2618773
