DataKey,true_SPAD,predicted_SPAD,predicted_std_SPAD
202404251118_12,52.9,54.485363,1.9263585
202404251118_12,52.9,53.493725,1.9063376
202404251118_12,52.9,53.623695,1.9081731
202404251118_12,52.9,51.586353,1.8665203
202404251118_12,52.9,52.452602,1.8851361
202404251118_12,52.9,53.34736,1.9016515
202404251118_12,52.9,54.725857,1.9300816
202404251118_12,52.9,53.437397,1.9032866
202404251118_12,52.9,54.65349,1.9288108
202404251118_12,52.9,53.301105,1.9006187
202404251118_12,52.9,54.321205,1.9218743
202404251118_12,52.9,54.467697,1.924655
202404251118_12,52.9,54.7673,1.9310411
202404251118_12,52.9,52.507866,1.8841382
202404251118_12,52.9,53.37736,1.9027818
202404251118_13,48.2,49.308693,1.8214107
202404251118_13,48.2,48.785213,1.8119305
202404251118_13,48.2,49.479343,1.8249251
202404251118_13,48.2,49.019386,1.8163781
202404251118_13,48.2,49.35857,1.8225292
202404251118_13,48.2,48.32991,1.8028129
202404251118_13,48.2,49.446415,1.8247185
202404251118_13,48.2,48.7381,1.8109537
202404251118_13,48.2,49.627632,1.8283501
202404251118_13,48.2,49.644962,1.8298477
202404251118_13,48.2,49.87466,1.83195
202404251118_13,48.2,47.64661,1.7889137
202404251118_13,48.2,50.454742,1.8435787
202404251118_13,48.2,48.30767,1.8017604
202404251118_13,48.2,50.0809,1.8360815
202404251118_13,48.2,47.861637,1.7932514
202404251118_13,48.2,48.893692,1.8134061
202404251118_13,48.2,47.783497,1.7915946
202404251118_13,48.2,50.63055,1.84813
202404251118_13,48.2,49.664646,1.8296074
202404251118_14,49.5,48.76028,1.8093104
202404251118_14,49.5,48.927174,1.8120787
202404251118_14,49.5,48.582073,1.8067889
202404251118_14,49.5,48.943714,1.8130194
202404251118_14,49.5,48.642445,1.8074116
202404251118_14,49.5,48.856937,1.8108765
202404251118_14,49.5,48.809044,1.8101071
202404251118_14,49.5,48.995914,1.813698
202404251118_14,49.5,50.325996,1.8399028
202404251118_14,49.5,50.030796,1.8362906
202404251118_14,49.5,49.28217,1.8190371
202404251118_14,49.5,49.483376,1.8229201
202404251118_14,49.5,49.05357,1.8149526
202404251118_14,49.5,49.159206,1.8167222
202404251118_14,49.5,49.21863,1.8179036
202404251118_14,49.5,49.580486,1.8249922
202404251118_14,49.5,49.79945,1.8290875
202404251118_14,49.5,49.414677,1.8217369
202404251118_14,49.5,49.622314,1.8252876
202404251118_14,49.5,50.335297,1.8415761
202404251118_15,53.3,52.273335,1.8808606
202404251118_15,53.3,52.19825,1.8790454
202404251118_15,53.3,52.573578,1.8873112
202404251118_15,53.3,52.814636,1.8926309
202404251118_15,53.3,52.445965,1.884427
202404251118_15,53.3,52.54051,1.8863329
202404251118_15,53.3,52.345795,1.8820968
202404251118_15,53.3,52.54578,1.8865006
202404251118_15,53.3,51.929432,1.874198
202404251118_15,53.3,50.993084,1.8573772
202404251118_15,53.3,52.387955,1.88195
202404251118_15,53.3,52.14183,1.8769372
202404251118_15,53.3,52.169106,1.8775765
202404251118_15,53.3,52.0297,1.8746023
202404251118_15,53.3,52.437405,1.8830254
202404251118_15,53.3,52.083996,1.8755025
202404251118_15,53.3,52.352726,1.8811041
202404251118_15,53.3,52.07102,1.8754567
202404251118_15,53.3,51.46939,1.8647318
202404251118_15,53.3,53.057392,1.8961494
202404251118_16,45.9,45.60581,1.7558453
202404251118_16,45.9,44.90165,1.7407986
202404251118_16,45.9,44.986988,1.7456429
202404251118_16,45.9,43.778618,1.7211865
202404251118_16,45.9,45.19011,1.7484095
202404251118_16,45.9,43.851143,1.7221619
202404251118_16,45.9,43.857956,1.7218896
202404251118_16,45.9,44.287212,1.7300011
202404251118_16,45.9,46.74966,1.7713906
202404251118_16,45.9,46.433273,1.7726232
202404251118_16,45.9,46.270996,1.7621579
202404251118_16,45.9,45.53201,1.7489804
202404251118_16,45.9,45.56122,1.7500522
202404251118_16,45.9,44.454327,1.7294964
202404251118_16,45.9,45.8877,1.755488
202404251118_16,45.9,45.91056,1.7560636
202404251118_16,45.9,45.125423,1.741344
202404251118_16,45.9,45.03712,1.7399759
202404251118_16,45.9,44.24557,1.7282996
202404251118_16,45.9,48.092613,1.798614
202404251118_17,54.0,54.05258,1.915435
202404251118_17,54.0,52.41563,1.8822181
202404251118_17,54.0,54.526577,1.9255863
202404251118_17,54.0,52.221775,1.8790306
202404251118_17,54.0,54.23194,1.919287
202404251118_17,54.0,52.52862,1.8844488
202404251118_17,54.0,54.01656,1.9155347
202404251118_17,54.0,52.215637,1.8785205
202404251118_17,54.0,53.380196,1.9030753
202404251118_17,54.0,54.605232,1.9308658
202404251118_17,54.0,53.90283,1.9129454
202404251118_17,54.0,53.587646,1.9055891
202404251118_17,54.0,54.292233,1.9207004
