DataKey,label,(times),DATE,SPAD,LAI,oldTotEarNum,totEarWeight,totEarNum,totalSeedNum,totalSeedWeightBeforeDry,totalSeedWeightAfterDry
202503111011_58,58,1,11/3/2025,51.0,,283,940.89,412,15276,620.4,620.4
202503111011_59,59,1,11/3/2025,51.3,,390,583.37,255,8387,340.8,340.8
202503111011_60,60,1,11/3/2025,51.3,,319,964.19,422,15682,634.4,634.4
202503210851_1,1,2,21/3/2025,49.5,,594,978.48,428,14332,509.1,509.1
202503210851_2,2,2,21/3/2025,45.9,,442,752.59,329,12649,455.2,455.2
202503210851_3,3,2,21/3/2025,47.6,,340,724.59,317,8320,271.5,271.5
202503210851_4,4,2,21/3/2025,51.8,,436,865.89,379,12101,439.2,439.2
202503210851_5,5,2,21/3/2025,49.5,,438,986.5,432,16232,568.8,568.8
202503210851_6,6,2,21/3/2025,59.3,,541,1200.58,525,18793,665.4,665.4
202503210851_7,7,2,21/3/2025,51.8,,322,737.74,323,18140,642.7,642.7
202503210851_8,8,2,21/3/2025,50.2,,452,1029.47,450,11306,375.9,375.9
202503210851_9,9,2,21/3/2025,55.0,,560,1186.72,519,8326,295.2,295.2
202503210851_10,10,2,21/3/2025,47.5,,487,938.33,411,14029,518.5,518.5
202503210851_11,11,2,21/3/2025,55.6,,437,1334.87,584,19844,774,774
202503210851_12,12,2,21/3/2025,49.7,,446,828.36,362,12197,441.9,441.9
202503210851_13,13,2,21/3/2025,55.7,,390,972.23,425,15863,569,569
202503210851_14,14,2,21/3/2025,49.3,,371,1076.89,471,16373,639.9,639.9
202503210851_15,15,2,21/3/2025,55.1,,530,1380.04,604,18955,795.1,795.1
202503210851_16,16,2,21/3/2025,53.8,,325,760,333,11706,466.3,466.3
202503210851_17,17,2,21/3/2025,47.4,,406,1036.17,453,16574,679.5,679.5
202503210851_18,18,2,21/3/2025,52.3,,376,835.77,366,10869,425.1,425.1
202503210851_19,19,2,21/3/2025,53.3,,481,872.05,382,13736,492.5,492.5
202503210851_20,20,2,21/3/2025,49.1,,399,915.38,401,11978,461.4,461.4
202503210851_21,21,2,21/3/2025,48.4,,434,866.14,379,11435,410,410
202503210851_22,22,2,21/3/2025,51.3,,328,599.87,262,8056,268.3,268.3
202503210851_23,23,2,21/3/2025,52.1,,347,1019.55,446,12866,490.1,490.1
202503210851_24,24,2,21/3/2025,56.8,,588,1185.78,519,14804,612.5,612.5
202503210851_25,25,2,21/3/2025,51.9,,435,826.52,362,11871,452.2,452.2
202503210851_26,26,2,21/3/2025,52.3,,407,1048.12,459,13984,534.9,534.9
202503210851_27,27,2,21/3/2025,47.8,,424,658.45,288,9040,332.1,332.1
202503210851_28,28,2,21/3/2025,51.5,,419,1048.12,459,14474,6147,6147
202503210851_29,29,2,21/3/2025,52.9,,518,1170,512,18380,741.1,741.1
202503210851_30,30,2,21/3/2025,51.5,,488,1157.54,507,9398,334.6,334.6
202503210851_31,31,2,21/3/2025,51.3,,340,798.88,350,11297,519.6,519.6
202503210851_32,32,2,21/3/2025,44.7,,459,828.36,362,12643,517.2,517.2
